v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,deltat_k,qext_w
0.475950266,9.502247241,7.662828305,382.9452411,313.15,0.694310846,-0.694310846,0.000694394,56151.44074,0.01848794,65.35644177,218464.4998
1.14003819,9.58532139,7.579462302,382.5358182,313.15,1.663074772,-1.663074772,0.001663274,134498.8992,0.017824006,69.48717321,523285.5
0.12815709,9.59936596,7.573517224,382.5467134,313.15,0.186954108,-0.186954108,0.000186977,15119.65795,0.021581065,68.98680062,58825.00018
0.575889904,9.568793743,7.643365988,380.8699323,313.15,0.840101656,-0.840101656,0.000840202,67942.07325,0.018290144,69.7526586,264337.4926
0.229280822,9.474738521,7.656904943,382.7677162,313.15,0.33447226,-0.33447226,0.000334512,27049.98691,0.019714155,69.81454261,105241.5002
0.020934322,9.624278939,7.471624383,382.7860722,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.39039907,9609
0.384473446,9.503242875,7.64253152,382.654914,313.15,0.5608655,-0.5608655,0.000560933,45359.23074,0.018759124,67.83595823,176476
0.04632936,9.443565423,7.694207121,380.9281915,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,67.75757353,21265.5
0.033860051,9.562710371,7.563338905,382.7121587,313.15,0.049394658,-0.049394658,4.94E-05,3994.725425,0.033369291,68.85064353,15542
0.029399334,9.44325417,7.694600969,380.4206494,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,67.66222761,13494.5
0.020934322,9.443254253,7.694600837,379.9105816,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.85257808,9609
0.029399334,9.4432061,7.694665674,378.7601293,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,69.73955809,13494.5
0.020934322,9.443090157,7.694828038,379.2634054,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,66.68575476,9609
0.020934322,9.443068619,7.69486076,377.759814,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,69.42042595,9609
0.008465013,9.443066425,7.694864954,373.1802969,313.15,0.012348664,-0.012348664,1.24E-05,998.6813564,0.08143267,69.67062238,3885.5
0.037864347,9.441913718,7.69639059,380.199158,313.15,0.05523608,-0.05523608,5.52E-05,4467.142446,0.031674997,69.32523321,17380
0.020934322,9.534636144,7.576074554,381.1674649,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.40592315,9609
0.020934322,9.534046975,7.576753922,378.4164966,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,62.75946892,9609
0.016930025,9.533687935,7.57716958,377.1814378,313.15,0.024697329,-0.024697329,2.47E-05,1997.362713,0.049390418,67.8545624,7771
0.025395038,9.533241268,7.577689422,380.3585431,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,65.62757093,11656.5
0.020934322,9.533241617,7.577688678,380.7400609,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,69.71128963,9609
0.020934322,9.532896274,7.578096732,380.614248,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,69.74770915,9609
1.064309496,9.725778305,7.351790279,383.0238417,313.15,1.552602613,-1.552602613,0.001552789,125564.6143,0.017857863,69.54678584,488525.5
0.703592785,9.584494548,7.562313616,382.9341097,313.15,1.026393168,-1.026393168,0.001026516,83008.14469,0.018119174,69.47812973,322954.0074
0.290176407,9.535866612,7.574799508,382.930081,313.15,0.42330605,-0.42330605,0.000423357,34234.29822,0.019217635,69.3557802,133192.9998
0.130979486,9.484431745,7.665782227,382.3849693,313.15,0.191071388,-0.191071388,0.000191094,15452.63737,0.021489853,69.60591692,60120.5
0.025395038,9.45162094,7.685267437,381.1520983,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.84471619,11656.5
0.285715691,9.518904188,7.697510646,380.5186465,313.15,0.416798807,-0.416798807,0.000416849,33708.03388,0.019246822,69.79524114,131145.4998
0.317935245,9.524235936,7.617328421,382.2106629,313.15,0.463800326,-0.463800326,0.000463856,37509.2175,0.019054412,69.38581824,145934.5002
0.330860974,9.524480199,7.617043953,382.5897783,313.15,0.482656233,-0.482656233,0.000482714,39034.16319,0.018987755,69.39671339,151867.5002
0.382835127,9.524364242,7.617172127,382.6781522,313.15,0.558475538,-0.558475538,0.000558542,45165.94582,0.018765162,67.71993229,175723.9998
0.245028947,9.548846348,7.607400386,382.3142939,313.15,0.357445447,-0.357445447,0.000357488,28907.91202,0.019562092,69.61771619,112470
0.796707924,9.549002348,7.607327315,382.9348288,313.15,1.162228477,-1.162228477,0.001162368,93993.63961,0.018029062,69.63607224,365694.5074
0.233741538,9.540812272,7.61257232,382.5547219,313.15,0.340979503,-0.340979503,0.00034102,27576.25125,0.019669003,69.50491403,107289.0002
0.351795295,9.540788645,7.612598847,382.599242,313.15,0.513194984,-0.513194984,0.000513256,41503.94292,0.018890187,67.77819147,161476.5002
1.756614855,9.521695511,7.624503949,382.9000937,313.15,2.562529812,-2.562529812,0.002562837,207241.0963,0.017656984,69.56215872,806298.5
0.273246382,9.574668782,7.531263758,382.6496491,313.15,0.398608721,-0.398608721,0.000398656,32236.9355,0.019333466,67.27064942,125421.9998
0.447732831,9.470421298,7.669160487,382.8217811,313.15,0.653147573,-0.653147573,0.000653226,52822.41726,0.018559772,66.76058156,205512.5
0.776955485,9.455165446,7.700335564,382.180623,313.15,1.133413844,-1.133413844,0.00113355,91663.29552,0.018046373,65.61012933,356628
0.292540207,9.458015326,7.680468573,381.9219918,313.15,0.426754333,-0.426754333,0.000426805,34513.17343,0.01920253,66.11340537,134278.0002
1.491833502,9.455854073,7.695364487,381.7294881,313.15,2.17626978,-2.17626978,0.002176531,176002.8441,0.017711796,64.609814,684762.0078
0.04632936,9.44624797,7.691113137,381.2800788,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,60.03029694,21265.5
0.029399334,9.445151168,7.692360337,381.7446406,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,67.04915797,13494.5
